order,user_id,group_name,class_id,transcript,quality_bin,phone_error_rate,mean_token_probability,fallback_word_fraction,review_status,review_notes
1,1,sentences1,0,I need help.,high,0.5,0.2669368435582234,0.0,unreviewed,
2,16,sentences1,0,I need help.,borderline,0.625,0.0410876431945562,0.0,unreviewed,
3,5,sentences1,0,I need help.,fallback,1.0,0.0083992523885935,0.6666666666666666,unreviewed,
4,9,sentences1,0,I need help.,primary,0.625,0.217300281584292,0.0,unreviewed,
5,10,sentences2,2,Call for an ambulance.,high,0.4705882352941176,0.2993326870318391,0.0,unreviewed,
6,18,sentences2,2,Call for an ambulance.,primary,0.7058823529411765,0.082439683352703,0.0,unreviewed,
7,11,sentences2,2,Call for an ambulance.,borderline,0.7647058823529411,0.03476717886834,0.0,unreviewed,
8,2,sentences2,2,Call for an ambulance.,fallback,0.8235294117647058,0.1349406928085384,0.5,unreviewed,
9,12,sentences3,3,The building's on fire.,high,0.2142857142857142,0.7423584461481721,0.0,unreviewed,
10,13,sentences3,3,The building's on fire.,high,0.0,0.8168210323758405,0.0,unreviewed,
11,14,sentences3,3,The building's on fire.,high,0.0714285714285714,0.706889608651414,0.0,unreviewed,
12,15,sentences3,3,The building's on fire.,high,0.0714285714285714,0.8430093915347873,0.0,unreviewed,
13,17,sentences4,4,Can you smell smoke?,high,0.3076923076923077,0.391983215359577,0.0,unreviewed,
14,19,sentences4,4,Can you smell smoke?,high,0.1538461538461538,0.6753421145506969,0.0,unreviewed,
15,20,sentences4,4,Can you smell smoke?,high,0.3076923076923077,0.6373554140845789,0.0,unreviewed,
16,3,sentences4,4,Can you smell smoke?,high,0.1538461538461538,0.6055643619907508,0.0,unreviewed,
17,4,sentences5,5,Where's the fire escape?,high,0.2142857142857142,0.6396469059203657,0.0,unreviewed,
18,6,sentences5,5,Where's the fire escape?,high,0.2142857142857142,0.5173695775585543,0.0,unreviewed,
19,7,sentences5,5,Where's the fire escape?,high,0.2142857142857142,0.5295131490902578,0.0,unreviewed,
20,8,sentences5,5,Where's the fire escape?,high,0.1428571428571428,0.5774954555446247,0.0,unreviewed,
21,1,sentences6,6,There's been an accident.,primary,0.5882352941176471,0.1403351105644983,0.0,unreviewed,
22,15,sentences6,6,There's been an accident.,fallback,0.1764705882352941,0.5565900501648354,0.25,unreviewed,
23,18,sentences6,6,There's been an accident.,primary,0.7058823529411765,0.1064368336698479,0.0,unreviewed,
24,5,sentences6,6,There's been an accident.,borderline,0.8235294117647058,0.1234789264428554,0.0,unreviewed,
25,11,sentences7,7,Need emergency treatment at shock stage.,primary,0.6071428571428571,0.2547607450012864,0.0,unreviewed,
26,2,sentences7,7,I am having trouble breathing.,primary,0.75,0.0658423189951951,0.0,unreviewed,
27,3,sentences7,7,Need emergency treatment at shock stage.,primary,0.5714285714285714,0.1522240774377616,0.0,unreviewed,
28,10,sentences7,7,Need emergency treatment at shock stage.,high,0.1071428571428571,0.7308211364762376,0.0,unreviewed,
29,4,sentences8,8,Is there a doctor here?,fallback,0.2857142857142857,0.4756775104396327,0.2,unreviewed,
30,7,sentences8,8,Is there a doctor here?,primary,0.7142857142857143,0.0500085882324557,0.0,unreviewed,
31,12,sentences8,8,Is there a doctor here?,high,0.2857142857142857,0.4523986431663589,0.0,unreviewed,
32,13,sentences8,8,Is there a doctor here?,high,0.2857142857142857,0.4175887733562813,0.0,unreviewed,
33,14,sentences9,9,Medical care is important.,high,0.1904761904761904,0.4217198703942491,0.0,unreviewed,
34,16,sentences9,9,Medical care is important.,high,0.1904761904761904,0.3876006112979527,0.0,unreviewed,
35,17,sentences9,9,Medical care is important.,high,0.3333333333333333,0.3213969958712418,0.0,unreviewed,
36,19,sentences9,9,Medical care is important.,high,0.238095238095238,0.2843818131364281,0.0,unreviewed,
37,20,sentences10,1,Don't worry about bleeding.,high,0.2941176470588235,0.4753792511462339,0.0,unreviewed,
38,6,sentences10,1,My heart is failing.,high,0.1538461538461538,0.4339008023377567,0.0,unreviewed,
39,8,sentences10,1,Don't worry about falling.,high,0.375,0.274566275925473,0.0,unreviewed,
40,9,sentences10,1,Don't worry about falling.,high,0.5,0.2524174438441521,0.0,unreviewed,
